goods_name,shop_name,price,purchase_num,location
正宗嗨吃家酸辣粉桶装速食懒人食品方便面螺蛳粉粉丝米线6桶正品,嗨吃家旗舰店,39.99,['6.0万+人付款'],陕西 西安
瑞百年螺蛳粉柳州正宗包邮广西特产螺丝粉原味330g*5包袋装螺狮粉,瑞百年旗舰店,39.90,['6.5万+人付款'],广西 柳州
桂柳粉王螺行江湖400g*6包广西柳州特产正宗螺蛳粉包邮酸辣粉米线,桂柳粉王食品旗舰店,69.90,['9000+人付款'],广西 柳州
柳全螺蛳粉268g*10袋礼盒装广西特产小吃方便米粉正宗柳州螺丝粉,柳全食品旗舰店,99.00,['2266人付款'],广西 柳州
统一那街那巷 原汤牛肉常德米粉 米线速食代餐早餐螺蛳粉湖南特产,统一官方旗舰店,58.90,['1187人付款'],上海
柳全柳州螺蛳粉268g*5袋礼盒广西正宗螺丝粉方便面速食米线酸辣粉,柳全食品旗舰店,49.50,['1.0万+人付款'],广西 柳州
【现货秒发】寄杨轩螺蛳粉柳州正宗包邮螺丝粉300g*3盒螺狮粉方便,寄杨轩旗舰店,38.50,['10万+人付款'],广西 柳州
现货秒发 立减包邮 柳螺宗蛳螺蛳粉袋装整箱,crischerry,39.60,['189人付款'],广西 柳州
螺公堂正宗柳州螺蛳粉3300g,wang374312160,38.90,['114人付款'],广西 南宁
广西桂林纯大米无添加手工干米粉粗条螺蛳粉,食趣一点,29.90,['44人付款'],广西 桂林
好欢螺螺蛳粉400g*10袋礼盒装广西特产柳州螺狮粉正宗包邮螺蛳粉,迅荟食品专营店,134.10,['455人付款'],广西 柳州
嘻螺会螺蛳粉柳州正宗小时光同款螺蛳粉10袋礼盒装螺狮粉米粉速食,臻冠食品专营店,69.80,['2719人付款'],广西 柳州
食战家柳州螺蛳粉广西螺狮粉330克x5包正宗特产螺丝粉速食酸辣粉,食战家食品旗舰店,59.80,['2.5万+人付款'],广西 柳州
(预售)多腐竹款水煮380g×3袋螺蛳粉先生马中才旗舰店,马中才旗舰店,43.90,['7000+人付款'],广西 南宁
好欢螺螺蛳粉300g*10袋礼盒整箱广西柳州螺丝粉正宗包邮酸辣米粉,潮腾食品专营店,129.00,['3119人付款'],广西 柳州
柳柳螺蛳粉柳州正宗包邮广西特产螺丝粉螺狮粉300克10包方便速食,柳柳食品旗舰店,61.00,['3189人付款'],广西 柳州
好欢螺螺蛳粉柳州特产美食酸辣粉300gx5袋螺狮粉速食方便面米线,好欢螺旗舰店,64.50,['5.5万+人付款'],广西 柳州
【礼盒款】好欢螺螺蛳粉小龙虾味螺狮粉320g10袋螺丝粉速食酸辣粉,好欢螺旗舰店,149.00,['833人付款'],广西 柳州
好欢螺螺蛳粉300g*10袋礼盒装整箱广西柳州正宗螺狮粉螺丝粉包邮,丝皇食品专营店,129.00,['2504人付款'],广西 柳州
好欢螺螺蛳粉300g广西柳州特产方便螺狮粉正宗酸辣螺丝粉正品包邮,丝皇食品专营店,38.70,['4.5万+人付款'],广西 柳州
三只松鼠螺蛳粉300g*6袋装速食方便面泡面小火锅面条米线,天猫超市,69.90,['957人付款'],上海
柳江人家螺蛳粉350g*2袋螺丝粉广西柳州正宗特产速食酸辣螺狮粉,天猫超市,25.80,['3651人付款'],上海
冠莲江西米粉米线1250g*2螺蛳粉牛肉粉酸辣粉麻辣烫粉干粉丝,天猫超市,29.80,['3071人付款'],上海
柳全螺蛳粉袋装300g正宗广西柳州特产酸辣方便米粉水煮型粉丝现货,天猫超市,17.60,['3956人付款'],上海
柳全正宗广西柳州特产螺蛳粉268g*4袋装水煮酸辣米粉方便米线现货,天猫超市,63.00,['2027人付款'],上海
李子柒柳州螺蛳粉正宗广西特产螺丝粉酸辣米线方便袋装335g预售,李子柒旗舰店,13.90,['7000+人付款'],浙江 嘉兴
【预售】螺霸王原味水煮螺蛳粉280G*6包礼盒广西柳州螺狮粉酸辣,螺霸王食品旗舰店,69.90,['5500+人付款'],广西 柳州
柳江人家柳州螺蛳粉330g克*10袋广西特产方便螺狮粉包邮螺丝粉,柳江人家旗舰店,128.00,['1595人付款'],广西 柳州
柳江人家广西麻辣味螺蛳粉整箱330g*5包正宗柳州螺狮粉方便螺丝粉,柳江人家旗舰店,59.80,['7000+人付款'],广西 柳州
好欢螺螺蛳粉300g整箱10袋礼盒广西柳州特产螺狮粉螺师粉正宗包邮,广西浩丰食品专营店,129.00,['3513人付款'],广西 柳州
螺霸王麻辣螺蛳粉315G*5袋礼盒装广西柳州特产水煮螺狮粉整箱,螺霸王食品旗舰店,65.90,['1338人付款'],广西 柳州
好欢螺螺蛳粉400g整箱10包礼盒装柳州特产螺丝粉螺师粉包邮,广西浩丰食品专营店,149.00,['1636人付款'],广西 柳州
满减【百草味-酸辣粉120g】方便面速食米线桶装螺蛳粉泡面方便,百草味旗舰店,23.70,['4614人付款'],浙江 杭州
【当天发货】佳味螺螺蛳粉柳州螺丝粉广西350g*3包正宗包邮螺狮粉,佳味螺旗舰店,38.80,['10万+人付款'],广西 柳州
【升级版】好欢螺螺蛳粉加辣加臭加腐竹400g袋装螺狮粉柳州螺丝粉,好欢螺吖咪屋专卖店,40.23,['6500+人付款'],广西 柳州
螺霸王螺蛳粉柳州特产原味螺狮粉螺丝粉水煮方便面速食280g*3袋,元和恒泰食品专营,37.50,['1627人付款'],北京
【顺丰发货】柳螺宗蛳柳州螺蛳粉广西特产330g*3正宗螺狮粉螺丝粉,柳螺宗蛳旗舰店,29.60,['10万+人付款'],广西 柳州
【现货秒发】寄杨轩螺蛳粉柳州正宗包邮广西螺狮粉特产螺丝粉米线,寄杨轩旗舰店,78.00,['3730人付款'],广西 柳州
